venue,address,confidence,evidence
"Liverpool Gallery, ADL CBD","Liverpool Street Gallery, 39 Liverpool Street, Adelaide SA 5000",HIGH,Humanitix ticket page starrystarrynight-adw26 - RESOLVES the dead end; NOT the Sydney gallery
"My Cloud Nine, ADL CBD","263 Gilbert Street, Adelaide SA 5000",HIGH,mycloudnine.com.au - cnr Gilbert & Vinrace
"Sans-Arc Studio, West Croydon","3A Malcolm Street, West Croydon SA 5008",HIGH,sansarc.studio/contact
"Mixed Goods Studio, Kilkenny","3/64 Humphries Terrace, Kilkenny SA 5009",HIGH,Helpmann Academy residency page
"Design by WBL, ADL CBD","Level 3, 28 Franklin Street, Adelaide SA 5000",HIGH,designbywbl.com.au/contact (Williams Burton Leopardi)
Various ADW Events,NOT A PLACE - program-wide placeholder,HIGH,generic
"Hebart Hall, North Adelaide","104 Jeffcott Street, North Adelaide SA 5006",HIGH,Humanitix UNBUILT LAUNCH PARTY; SA heritage listing
"(Secret Location), ADL CBD",NOT A PLACE - undisclosed by design,HIGH,"ADW program: ""bridge announced on the day"" - do not pin"
"Plant 3, Bowden","6-14 Fourth Street, Bowden SA 5007",HIGH,plant3bowden.com.au footer
"Michi, ADL CBD","223 Pulteney Street, Adelaide SA 5000",MEDIUM,michi.com.au - single source for the number
"VARIOUS, ADL CBD",NOT A PLACE - roving vehicle,HIGH,ADW program: CARDENING CLUB moves between other ADW events
"Smokelovers, ADL CBD","244 Rundle Street, Adelaide SA 5000",HIGH,smokelovers.com.au; Broadsheet; Yelp
"Nudie Jeans, ADL CBD","230 Rundle Street, Adelaide SA 5000 (Shop 2, 228-230)",HIGH,Broadsheet; Nudie Jeans Instagram
"Crafted Hardwoods, Plympton",UNKNOWN - Plympton SA 5038 only,LOW,only Canberra registered office published; factory street unlisted
"Estilo, ADL CBD","Level 1, 192 Waymouth Street, Adelaide SA 5000",HIGH,estilo.au; Herman Miller dealer locator
"Mid-Century House, Lynton",WITHHELD - private home; ticket page shows 'Lynton S.A.' only,LOW,Humanitix emigre-speaker-series: address given to ticket holders only - DO NOT PUBLISH
"Mixed Goods Studios, Kilkenny","3/64 Humphries Terrace, Kilkenny SA 5009",HIGH,Helpmann Academy residency page
"1/149 Flinders St, ADL CBD","1/149 Flinders Street, Adelaide SA 5000",HIGH,"rflux.au/contact; PACT Architects - same as ""RF Lux, ADL CBD"""
"Yadura Design Studio, Parkside","149A Young Street, Parkside SA 5063",HIGH,yadura.com footer; Behance/ServiceSeeking
"Nearly Bar, ADL CBD","179 Hindley Street, Adelaide SA 5000",HIGH,Broadsheet; GlamAdelaide; Star Wine List
"Arc Tile Showroom, ADL CBD","Unit 4, 9-17 Young Street, Adelaide SA 5000",MEDIUM,arctiledesign.com.au/contact
"Imprints, ADL CBD","107 Hindley Street, Adelaide SA 5000",HIGH,imprints.com.au; White Pages; ABA
"JPE Design Studio, ADL CBD","Level 4, 19 Gilles Street, Adelaide SA 5000",HIGH,jpe.com.au/contact; D&B
"The Forum, Jeffrey Smart, ADL CBD","Jeffrey Smart Building, 217 Hindley Street, Adelaide SA 5000",MEDIUM,Yelp/Apple Maps; adelaide.edu.au | building range 217-243
"Allan Scott Auditorium H2-16, Fenn Place, Adelaide University, ADL CBD","Hawke Building, 55 North Terrace (cnr Fenn Place), Adelaide SA 5000",HIGH,hawkecentre.adelaide.edu.au/about/location
"The Light Impact, Norwood","66 The Parade, Norwood SA 5067",HIGH,thelightimpact.com.au/contact-us
"Stylecraft, ADL CBD","11 Waymouth Street, Adelaide SA 5000",HIGH,stylecraft.com.au/showrooms/adelaide
"WIP Shed, 28A Dew St, Thebarton","28A Dew Street, Thebarton SA 5031",MEDIUM,"address from venue string; property confirmed, business not"
"GGA Studio, ADL CBD","243 Pirie Street, Adelaide SA 5000",HIGH,Humanitix x2 name the venue 'Grieve Gillett Architects' - confirms the GGA inference
"Jardan, ADL CBD","223 Flinders Street, Adelaide SA 5000",HIGH,jardan.com.au/pages/contact-us; InDaily
"MEET: A PLACE coffee, Bowden","37 Second Street, Bowden SA 5007",HIGH,GlamAdelaide; @aplacecoffee Instagram
"Qantas Office, ADL CBD","UNKNOWN - Pirie Street, Adelaide SA 5000 only",LOW,InDaily 15 Sep 2026; no street number published anywhere - DO NOT GUESS
"MEET: Jewels of Thought Records, Ebenezer Place CBD, ADL","15 Ebenezer Place, Adelaide SA 5000",HIGH,Record Store Day AU; Broadsheet
"MEET: Faraway House, 21 Franklin Street, CBD, ADL","21 Franklin Street, Adelaide SA 5000",HIGH,Ray White; SA History Festival
"MEET: Sir Douglas Nicholls Bridge, CBD ADL","Sir Douglas Nicholls Bridge, War Memorial Drive, North Adelaide SA 5006",HIGH,"Adelaide Park Lands Assoc - no street number; ~1.5km E of CBD, NOT the Oval footbridge | parklands footbridge, no street address"
"The Studio, AGSA, ADL CBD","490 North Terrace, Adelaide SA 5000 (The Studio, Courtyard Level)",HIGH,agsa.sa.gov.au/whats-on/ongoing-programs/studio
"Being Studio, 27 Halifax St, CBD, ADL","27 Halifax Street, Adelaide SA 5000",MEDIUM,luma.com/2jg84c32 withholds location until registration; street from ADW's own sheet
"The Mill, ADL CBD","154 Angas Street, Adelaide SA 5000",HIGH,themilladelaide.com/contact-us
"Min Jewellery, g14 33 Pirie St, CBD, ADL","Suite G14, Epworth Building, 33 Pirie Street, Adelaide SA 5000",HIGH,epworthbuilding.com.au/tenant-directory

SHOPFRONT DESIGN CIRCUIT stops (not venue rows),,,
Jewels of Thought Records,"15 Ebenezer Place, Adelaide SA 5000",HIGH,Broadsheet; GlamAdelaide
Galeria Grafika,"22 Ebenezer Place, Adelaide SA 5000",HIGH,Rundle Street East directory; CityMag Apr 2026
Utopian Creations,"20 Ebenezer Place, Adelaide SA 5000",HIGH,utopiancreations.com.au/pages/contact
Naomi Murrel,"5 Ebenezer Place, Adelaide SA 5000",HIGH,naomimurrell.com - CORRECT SPELLING: Naomi Murrell
Shop Pond / Filter Store,"Shop 4, 4-10 Ebenezer Place, Adelaide SA 5000",HIGH,shoppond.com.au/pages/about
Nudie Jeans,"Shop 2, 228-230 Rundle Street, Adelaide SA 5000",HIGH,Nudie Jeans store announcement
Miss Gladys Sim Choon,"235A Rundle Street, Adelaide SA 5000",HIGH,missgladyssymchoon.com.au - CORRECT SPELLING: Sym Choon
Aesop,"232 Rundle Street, Adelaide SA 5000",HIGH,aesop.com.au store locator; Rundle St East directory
